Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1970,1,Bob Lanier,1,211,113,0,850,1475,0,0,367,550,0,1180,0,0,0,0,0,2067,1,1
1970,2,Rudy Tomjanovich,1,203,99,0,765,1591,0,0,278,409,0,1039,0,0,0,0,0,1808,1,1
1970,3,Pete Maravich,1,196,89,0,1387,3166,0,0,893,1152,0,538,0,0,0,0,0,3667,1,1
1970,4,Dave Cowens,1,206,104,0,582,1122,0,0,315,464,0,1340,0,0,0,0,0,1479,1,1
1970,5,Sam Lacey,1,208,107,0,594,1307,0,0,260,394,0,1265,0,0,0,0,0,1448,1,1
1970,6,Jim Ard,0,203,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,7,John Johnson,1,201,91,0,463,852,0,0,246,347,0,509,0,0,0,0,0,1172,1,1
1970,8,Geoff Petrie,1,193,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1970,9,George Johnson,0,211,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,Greg Howard,0,206,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,11,Jimmy Collins,0,188,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,12,Al Henry,0,206,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,13,Jim McMillian,0,196,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1970,14,John Vallely,0,190,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,15,John Hummer,0,206,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,16,Gary Freeman,0,206,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,17,Mike Price,0,190,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,18,Calvin Murphy,1,175,75,0,947,2164,0,0,654,770,0,308,0,0,0,0,0,2548,1,1
1970,19,Tiny Archibald,1,185,68,0,510,1006,0,0,439,559,0,216,0,0,0,0,0,1459,1,1
1970,20,Jake Ford,0,190,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,21,Rex Morgan,0,196,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,23,Pete Cross,0,206,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,24,Cornell Warner,0,206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,25,Walt Gilmore,0,198,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,26,Dave Sorenson,0,203,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,27,Fred Taylor,0,196,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,28,Paul Ruffner,0,208,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,29,Joe DePre,0,190,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,30,Earnie Killum,0,190,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,Austin Carr,1,193,91,0,1017,1923,0,0,526,646,0,538,0,0,0,0,0,2560,1,1
1971,2,Sidney Wicks,1,203,102,0,549,1074,0,0,325,512,0,894,0,0,0,0,0,1423,1,1
1971,3,Elmore Smith,0,213,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1971,4,Ken Durrett,0,201,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,George Trapp,0,203,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,6,Fred Brown,1,190,83,0,448,895,0,0,195,238,0,202,0,0,0,0,0,1091,1,1
1971,7,Cliff Meely,0,203,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
