Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1990,1,Derrick Coleman,1,208,104,4688,770,1356,16,55,587,858,0,1537,322,187,319,322,426,2143,1,1
1990,2,Gary Payton,1,193,82,4528,829,1710,178,482,336,491,0,480,938,321,63,396,415,2172,1,1
1990,3,Mahmoud Abdul-Rauf,0,185,73,2382,664,1401,172,462,354,410,0,189,232,107,7,230,136,1854,0,0
1990,4,Dennis Scott,0,203,104,3686,744,1645,351,831,276,355,0,523,285,150,51,226,207,2115,0,1
1990,5,Kendall Gill,0,196,88,2972,522,1041,82,219,283,375,0,328,352,218,33,211,204,1409,0,1
1990,6,Felton Spencer,0,213,120,2464,409,651,0,0,350,518,0,694,95,68,133,202,387,1168,0,1
1990,7,Lionel Simmons,0,201,95,2465,1244,2482,56,135,673,932,0,1429,355,239,248,375,291,3217,0,1
1990,8,Bo Kimble,0,193,86,2851,872,1800,199,489,407,495,0,505,172,192,41,196,296,2350,0,0
1990,9,Willie Burton,0,203,95,3348,646,1265,82,217,426,569,0,705,206,103,79,282,355,1800,0,0
1990,10,Rumeal Robinson,0,188,88,2988,515,975,85,207,331,497,0,353,575,150,29,331,287,1446,0,0
1990,11,Tyrone Hill,1,206,109,3896,752,1299,0,2,499,721,0,1380,122,107,68,341,419,2003,1,1
1990,12,Alec Kessler,0,211,104,3452,612,1226,15,36,549,720,0,893,112,72,44,268,336,1788,0,0
1990,13,Loy Vaught,0,206,104,2945,617,1000,2,6,215,286,0,917,100,64,78,179,363,1451,0,1
1990,14,Travis Mays,0,188,86,4341,758,1714,246,664,517,693,0,590,280,156,25,372,359,2279,0,0
1990,15,Dave Jamerson,0,196,86,3722,864,1770,239,570,369,436,0,515,249,110,13,238,268,2336,0,0
1990,16,Terry Mills,0,208,104,2844,598,1065,0,4,209,277,0,681,228,78,111,219,266,1405,0,0
1990,17,Jerrod Mustaf,0,208,108,1895,393,748,14,36,180,238,0,456,88,37,50,166,128,980,0,0
1990,18,Duane Causwell,0,213,109,1896,207,411,0,1,128,205,0,451,31,45,203,70,202,542,0,0
1990,19,Dee Brown,0,185,73,3135,586,1217,87,238,244,320,0,573,336,201,33,247,233,1503,0,0
1990,20,Gerald Glass,0,196,100,2178,1138,2091,94,258,443,612,0,1101,178,246,131,300,284,2813,0,0
1990,21,Jayson Williams,1,206,109,2075,408,742,1,4,255,391,0,490,37,32,56,161,236,1072,1,1
1990,22,Tate George,0,196,86,4026,443,989,37,115,324,419,0,427,677,201,29,293,323,1247,0,0
1990,23,Anthony Bonner,0,203,98,3254,774,1435,4,12,420,662,0,1424,265,184,71,316,325,1972,0,0
1990,24,Dwayne Schintzius,0,216,118,3475,695,1407,3,19,231,317,0,829,253,64,272,283,339,1624,0,0
1990,25,Alaa Abdelnaby,0,208,109,1989,448,748,0,0,241,331,0,494,47,50,70,140,276,1137,0,0
1990,26,Lance Blanks,0,193,86,2700,470,1096,157,436,288,395,0,360,261,212,21,218,219,1385,0,0
1990,27,Elden Campbell,1,211,98,3194,754,1342,3,10,369,576,0,836,113,135,334,269,352,1880,0,1
1990,28,Les Jepsen,0,213,108,1644,223,381,1,4,159,265,0,511,69,37,63,133,164,606,0,0
1990,29,Toni Kukoc,1,208,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1990,30,Carl Herrera,0,206,98,1023,449,792,14,28,352,452,0,672,116,49,65,66,92,1264,0,0
1991,1,Larry Johnson,1,198,113,2372,612,952,30,86,363,460,0,837,188,139,92,188,207,1617,1,1
1991,2,Kenny Anderson,1,183,76,2488,561,1185,113,302,262,333,0,364,454,168,5,252,135,1497,1,1
1991,3,Billy Owens,0,203,100,3618,706,1399,50,154,378,554,0,910,381,216,97,268,295,1840,0,1
1991,4,Dikembe Mutombo,1,218,111,2261,352,547,0,0,243,379,0,823,75,43,354,165,234,947,1,1
1991,5,Steve Smith,1,201,91,4195,826,1695,147,353,464,614,0,740,453,111,36,384,318,2263,1,1
1991,6,Doug Smith,0,208,100,3760,897,1758,4,23,386,517,0,1053,322,178,129,335,422,2184,0,0
1991,7,Luc Longley,0,218,120,3649,696,1187,0,2,377,513,0,922,317,92,336,343,329,1769,0,1
1991,8,Mark Macon,0,196,84,4722,980,2318,246,657,403,517,0,700,352,281,14,225,291,2609,0,0
1991,9,Stacey Augmon,0,203,93,4283,757,1364,97,231,400,591,0,1005,433,275,128,312,380,2011,0,1
1991,10,Bison Dele,0,206,107,2384,481,810,0,1,230,333,0,627,57,65,116,189,272,1192,0,0
1991,11,Terrell Brandon,1,180,82,2175,463,957,81,213,256,316,0,207,315,114,8,203,120,1263,1,1
1991,12,Greg Anthony,0,183,80,4208,588,1345,172,454,387,547,0,428,950,329,46,367,346,1735,0,0
1991,13,Dale Davis,1,211,104,3498,633,1076,0,3,384,651,0,1216,84,106,210,189,348,1650,1,1
1991,14,Rich King,0,218,118,2928,564,1001,2,5,345,510,0,761,223,66,183,273,359,1475,0,0
1991,15,Anthony Avent,0,206,107,2351,415,788,0,0,237,338,0,711,112,50,114,206,272,1067,0,0
1991,16,Chris Gatling,0,208,100,2663,697,1150,0,1,417,605,0,859,75,147,195,244,282,1811,1,0
1991,17,Victor Alexander,0,206,120,2950,778,1274,0,1,336,529,0,795,119,78,120,208,247,1892,0,0
