Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1960,1,Oscar Robertson,1,196,93,3412,1052,1968,0,0,869,1114,0,1338,425,0,0,0,0,2973,1,1
1960,2,Jerry West,1,188,79,3138,843,1660,0,0,623,851,0,1240,261,0,0,0,0,2309,1,1
1960,3,Darrall Imhoff,1,208,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1960,4,Jackie Moreland,0,201,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,5,Lee Shaffer,1,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1960,6,Lenny Wilkens,1,185,82,0,461,1068,0,0,271,414,0,583,0,0,0,0,0,1193,1,1
1960,8,Tom Sanders,0,198,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,9,Jay Arnette,0,188,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,10,Dave Budd,0,198,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,12,Ron Johnson,0,203,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,14,Frank Radovich,0,203,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,15,Pickles Kennedy,0,180,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,16,Leroy Wright,0,206,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,17,Ralph Davis,0,193,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,19,Bob McNeill,0,185,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,21,Joe Roberts,0,198,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,22,Fred LaCour,0,196,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,27,Ben Warley,0,196,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1960,30,Horace Walker,0,190,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,Walt Bellamy,1,211,102,0,555,1074,0,0,331,506,0,1087,0,0,0,0,0,1441,1,1
1961,2,Tom Stith,0,196,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,3,Larry Siegfried,0,190,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,4,Ray Scott,0,206,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1961,5,Wayne Yates,0,203,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,6,Ben Warley,1,196,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1961,7,Tom Meschery,1,198,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1961,8,Cleo Hill,0,185,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,9,Gary Phillips,0,190,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,10,Whitey Martin,0,188,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,11,Bob Wiesenhahn,0,193,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,12,Johnny Egan,0,180,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,15,Ted Luckenbill,0,198,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,16,Ron Horn,0,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,17,Al Butler,0,188,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,18,Jack Turner,0,196,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,20,York Larese,0,193,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,21,Don Kojis,0,196,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1961,22,Doug Moe,1,196,98,0,329,810,0,0,329,484,0,635,67,0,0,0,0,987,1,1
1961,24,Tony Jackson,0,193,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1961,25,Bevo Nordmann,0,208,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
