Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1981,27,Howard Wood,0,201,107,2251,453,890,0,0,295,368,0,595,0,0,0,0,0,1201,0,0
1981,28,Gene Banks,0,201,98,2098,827,1558,0,0,425,589,0,985,0,0,0,0,0,2079,0,0
1981,29,Eddie Johnson,1,201,98,3479,753,1658,0,0,186,277,0,831,209,0,0,0,0,1692,0,1
1981,30,Ed Rains,0,201,86,3712,665,1349,0,0,471,676,0,720,0,0,0,0,0,1801,0,0
1982,1,James Worthy,1,206,102,0,485,896,0,0,249,382,0,620,208,117,94,252,211,1219,1,1
1982,2,Terry Cummings,1,206,100,2886,549,1036,0,0,300,387,0,857,144,95,112,192,266,1398,1,1
1982,3,Dominique Wilkins,1,201,91,2748,723,1365,0,0,242,346,0,588,116,102,142,147,206,1688,1,1
1982,4,Bill Garnett,0,206,102,3954,574,1048,0,0,446,579,0,840,0,0,0,0,0,1594,0,0
1982,5,LaSalle Thompson,0,208,111,3119,584,1056,0,0,295,414,0,1027,84,42,145,70,289,1463,0,0
1982,6,Trent Tucker,0,196,88,0,631,1264,0,0,183,237,0,393,0,0,0,0,0,1445,0,0
1982,7,Quintin Dailey,0,190,82,1138,707,1283,0,0,427,572,0,433,0,0,0,0,0,1841,0,0
1982,8,Clark Kellogg,0,201,102,3011,539,1112,0,0,207,268,0,872,0,106,60,264,231,1285,0,1
1982,9,Cliff Levingston,0,203,95,2924,597,1110,0,0,277,446,0,965,148,0,0,0,0,1471,0,0
1982,10,Keith Edmonson,0,196,88,3575,682,1289,0,0,353,467,0,440,0,0,0,0,0,1717,0,0
1982,11,Fat Lever,1,190,77,3421,418,928,0,0,301,400,0,453,444,0,0,0,0,1137,1,1
1982,12,John Bagley,0,183,84,2030,596,1201,0,0,437,562,0,328,0,157,12,352,211,1629,0,1
1982,13,Sleepy Floyd,1,190,77,4342,909,1834,0,0,486,628,0,477,355,0,0,0,0,2304,1,1
1982,14,Lester Conner,0,193,82,1896,219,433,0,0,207,287,0,282,264,0,0,0,0,645,0,0
1982,15,David Thirdkill,0,201,88,1112,488,978,0,0,285,427,0,528,0,0,0,0,0,1261,0,0
1982,16,Terry Teagle,0,196,88,0,876,1628,0,0,437,579,0,805,0,0,0,0,0,2189,0,0
1982,17,Brook Steppe,0,196,88,1250,410,794,0,0,285,364,0,282,0,0,0,0,0,1105,0,0
1982,18,Ricky Pierce,0,193,93,2883,746,1479,0,0,355,473,0,621,94,0,0,0,0,1847,1,0
1982,19,Rob Williams,0,188,79,3129,718,1413,0,0,402,515,0,219,0,0,0,0,0,1838,0,0
1982,20,Paul Pressey,1,196,84,2023,291,563,0,0,153,245,0,370,0,0,0,0,0,735,0,1
1982,21,Eddie Phillips,0,201,102,3887,770,1446,0,0,397,609,0,1129,0,0,0,0,0,1937,0,0
1982,22,Mark McNamara,0,211,107,652,709,1119,0,0,332,631,0,977,0,0,0,0,0,1750,0,0
1982,23,Darren Tillis,0,211,98,0,634,1165,0,0,155,260,0,1045,0,0,0,0,0,1423,0,0
1982,24,Oliver Robinson,0,193,82,3399,625,1234,0,0,327,442,0,420,0,0,0,0,0,1577,0,0
1982,25,Bryan Warrick,0,196,88,3272,507,1075,0,0,259,355,0,280,0,0,0,0,0,1273,0,0
1982,27,Fred Roberts,1,208,99,4058,687,1259,0,0,467,602,0,838,341,0,0,0,0,1841,0,1
1982,28,Dave Magley,0,203,92,2942,418,911,0,0,185,234,0,596,0,0,0,0,0,1021,0,0
1982,29,Scott Hastings,0,208,107,3880,665,1223,0,0,449,600,0,680,0,0,0,0,0,1779,0,0
1982,30,Wallace Bryant,0,213,111,2543,637,1309,0,0,255,403,0,1062,0,0,0,0,0,1529,0,0
1983,1,Ralph Sampson,1,224,103,4070,899,1584,0,0,427,650,0,1511,157,95,462,342,369,2228,1,1
