Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,College Pace,OffRtg,DefRtg,College Name,Years in College
2018,1,Deandre Ayton,0,216,113,1172,276,451,12,35,140,191,118,405,57,20,66,69,81,704,69.6,115.6,102.9,arizona,1
2018,2,Marvin Bagley,0,211,106,1114,270,440,23,58,131,209,132,366,50,27,29,75,60,694,71.2,118.5,97.8,duke,1
#2018,3,Luka Doncic,Did Not Attend College,,,,,,,,,,,,,,,,,,,,,,,
2018,4,Jaren Jackson,0,211,110,764,119,232,38,96,106,133,52,203,39,21,106,62,112,382,68.4,117.2,94.8,michigan-state,1
2018,5,Trae Young,0,188,82,1133,261,618,118,328,236,274,14,125,279,54,8,167,57,876,77.4,109.7,105.5,oklahoma,1
2018,6,Mohamed Bamba,0,213,102,906,146,270,14,51,81,119,96,316,15,23,111,46,76,387,69.4,103.9,99.1,texas,1
2018,7,Wendell Carter,0,208,117,993,179,319,19,46,124,168,109,335,74,30,76,75,105,501,71.2,118.5,97.8,duke,1
2018,8,Collin Sexton,0,190,86,987,196,438,44,131,196,252,34,124,119,28,3,92,81,632,70.2,103,100.6,alabama,1
2018,9,Kevin Knox,0,206,98,1198,196,440,57,167,127,164,33,200,53,31,10,85,82,576,70.1,109.6,100.3,kentucky,1
2018,10,Mikal Bridges,0,201,95,3171,458,873,171,428,224,265,131,504,183,163,101,124,257,1311,68,118.4,96.3,villanova,3
2018,11,Shai Gilgeous-Alexander,0,198,82,1248,183,377,23,57,143,175,33,153,189,61,18,100,62,532,70.1,109.6,100.3,kentucky,1
2018,12,Miles Bridges,0,201,102,1962,386,821,127,339,156,201,84,469,150,40,69,133,105,1055,68.4,111.2,97.6,michigan-state,2
2018,13,Jerome Robinson,0,198,87,3118,562,1249,159,423,308,408,46,343,294,117,24,259,226,1591,70.2,99.6,106,boston-college,3
2018,14,Michael Porter,0,208,98,53,10,30,3,10,7,9,4,20,1,3,1,3,6,30,67.9,107.1,100.3,missouri,1
2018,15,Troy Brown,0,201,98,1093,143,322,32,110,78,105,53,217,111,55,7,86,78,396,70.5,110.9,102.6,oregon,1
2018,16,Zhaire Smith,0,196,88,1050,154,277,18,40,91,127,83,185,66,42,42,41,67,417,68.9,108.2,94,texas-tech,1
2018,17,Donte DiVincenzo,0,196,93,2163,303,646,130,344,134,190,93,343,204,79,18,137,151,870,68,118.4,96.3,villanova,3
2018,18,Lonnie Walker,0,196,93,888,132,318,56,162,48,65,13,83,61,30,15,37,51,368,68.4,107.9,99.3,miami-fl,1
2018,19,Kevin Huerter,0,201,86,2072,273,586,138,350,95,127,53,324,196,52,44,126,136,779,67.6,108.8,99.8,maryland,2
2018,20,Josh Okogie,0,193,97,2014,327,748,66,173,313,403,109,351,120,90,50,138,164,1033,68.2,97.7,98.9,georgia-tech,2
2018,21,Grayson Allen,0,196,93,3962,606,1409,291,766,493,591,76,450,432,147,14,240,297,1996,69.1,117.8,100,duke,4
2018,22,Chandler Hutchison,0,201,89,2948,523,1098,79,224,353,514,138,672,255,120,29,236,268,1478,69.2,108.8,97.7,boise-state,4
2018,23,Aaron Holiday,0,185,84,3209,476,1058,180,427,311,391,48,320,477,126,22,304,271,1443,73.3,113,103.9,ucla,3
#2018,24,Anfernee Simons,Did Not Attend College,,,,,,,,,,,,,,,,,,,,,,,
2018,25,Moritz Wagner,0,211,111,2244,421,770,110,286,162,232,128,484,57,83,40,126,269,1114,65.6,113.1,100.2,michigan,3
2018,26,Landry Shamet,0,193,82,2029,296,617,159,364,163,201,39,213,288,54,14,108,146,914,68.8,114.3,93.4,wichita-state,3
2018,27,Robert Williams,0,208,109,1570,293,496,2,30,92,170,165,530,87,45,155,106,123,680,68.9,105.5,100.5,texas-am,2
2018,28,Jacob Evans,0,198,95,3051,423,985,174,462,213,282,139,455,263,120,92,133,209,1233,66.3,111.5,91.5,cincinnati,3
#2018,29,Dzanan Musa,Did Not Attend College,,,,,,,,,,,,,,,,,,,,,,,
2018,30,Omari Spellman,0,206,111,1125,160,336,65,150,49,70,90,321,30,26,59,40,92,434,70.9,122.2,99.1,villanova,1
