Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,College Pace,OffRtg,DefRtg,College Name,Years in College
2000,1,Kenyon Martin,1,206,106,2042,513,875,2,9,251,432,0,869,142,124,292,139,231,1279,69.5,111,90.5,cincinnati,4
2000,2,Stromile Swift,0,206,102,1332,253,452,8,33,157,256,0,348,37,65,130,126,131,671,71.6,99.3,91.9,louisiana-state,2
#2000,3,Darius Miles,0,206,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2000,4,Marcus Fizer,0,206,119,2204,690,1349,21,72,429,611,0,716,94,90,89,145,181,1830,67.7,100.7,95.4,iowa-state,3
2000,5,Mike Miller,0,203,99,1735,290,601,78,226,204,284,0,389,149,81,22,140,122,862,75.1,109.3,92.6,florida,2
2000,6,DerMarr Johnson,0,206,91,879,140,293,52,140,70,95,0,123,45,31,30,46,64,402,70.1,110.7,87.7,cincinnati,1
2000,7,Chris Mihm,0,213,120,2041,498,1003,9,30,399,583,0,945,55,36,264,159,180,1404,72.4,102.4,96.4,texas,3
2000,8,Jamal Crawford,0,196,91,577,105,255,33,101,40,51,0,47,76,19,16,53,19,283,75.3,100.2,105.5,michigan,1
2000,9,Joel Przybilla,0,216,116,1351,201,340,0,0,85,163,0,339,91,17,81,141,150,487,69.4,100.2,99.6,minnesota,2
2000,10,Keyon Dooling,0,190,89,1659,223,543,67,198,203,277,0,142,198,76,29,134,103,716,71.4,102.3,93.3,missouri,2
2000,11,Jerome Moiso,0,208,107,1661,301,608,5,22,135,220,0,421,66,61,81,141,176,742,74.2,103,95.2,ucla,2
2000,12,Etan Thomas,0,206,116,2261,495,825,0,0,350,585,0,847,51,85,424,148,242,1340,70.7,103.7,92.9,syracuse,4
2000,13,Courtney Alexander,0,196,93,3456,805,1767,166,458,336,438,0,441,249,128,21,220,246,2112,75.6,107.3,101,fresno-state,2
2000,14,Mateen Cleaves,0,188,93,2755,540,1331,143,457,318,431,0,256,816,195,16,353,194,1541,66.9,108.1,92.7,michigan-state,4
2000,15,Jason Collier,0,213,118,2602,479,1045,69,187,318,447,0,693,118,60,110,256,243,1345,72.4,95.2,99.1,georgia-tech,2
#2000,16,Hedo Turkoglu,1,208,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2000,17,Desmond Mason,1,201,102,2921,616,1268,130,349,340,468,0,795,147,158,92,175,196,1702,68.7,107.2,95.6,oklahoma-state,4
2000,18,Quentin Richardson,1,198,101,2190,405,893,117,317,220,302,0,652,104,59,17,138,144,1147,69,105,98.3,depaul,2
2000,19,Jamaal Magloire,1,211,117,2272,394,784,0,0,276,434,0,789,62,68,268,201,290,1064,70.9,108.4,90.2,kentucky,4
2000,20,Speedy Claxton,0,180,75,2975,705,1505,65,202,540,722,0,566,660,288,33,264,230,2015,69.4,100.8,93.8,hofstra,4
2000,21,Morris Peterson,0,201,99,2573,562,1161,146,387,318,426,0,645,129,119,42,170,238,1588,66.9,108.1,92.7,michigan-state,4
2000,22,Donnell Harvey,0,203,100,746,144,284,0,1,86,141,0,258,37,27,31,60,101,374,75.2,111.5,91.6,florida,1
#2000,23,DeShawn Stevenson,1,196,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2000,24,Dalibor Bagaric,0,216,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2000,25,Jake Tsakalidis,0,218,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2000,26,Mamadou N'Diaye,0,213,116,2038,319,630,0,2,237,370,0,798,76,75,216,0,0,875,69.8,102.9,92.7,auburn,4
#2000,27,Primoz Brezec,0,218,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2000,28,Erick Barkley,0,185,80,2261,316,797,107,326,210,289,0,202,302,167,18,145,157,949,73.3,104.3,98.3,st-johns-ny,2
2000,29,Mark Madsen,0,206,109,2007,428,729,0,2,320,537,0,857,69,47,64,107,204,1176,70.2,111.6,91.7,stanford,4
#2000,30,Marko Jaric,0,201,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2001,1,Kwame Brown,0,211,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2001,2,Tyson Chandler,1,216,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2001,3,Pau Gasol,1,213,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2001,4,Eddy Curry,0,213,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2001,5,Jason Richardson,0,198,100,1522,261,519,57,149,96,148,0,348,96,58,34,80,130,675,66.6,113.7,90.7,michigan-state,2
2001,6,Shane Battier,0,203,100,3450,651,1303,246,592,436,561,0,887,239,266,254,136,229,1984,75.5,117.9,90.3,duke,4
2001,7,Eddie Griffin,0,208,100,979,206,480,41,128,80,109,0,323,49,26,133,67,71,533,74.5,99.8,99.2,seton-hall,1
#2001,8,DeSagana Diop,0,213,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2001,9,Rodney White,0,206,108,865,188,386,33,95,114,160,0,182,41,34,20,82,73,523,72.2,108.4,99.7,charlotte,1
2001,10,Joe Johnson,1,201,109,1605,302,648,63,155,128,170,0,325,127,88,24,132,90,795,74.2,103.9,93.8,arkansas,2
#2001,11,Kedrick Brown,0,201,101,0,453,836,114,294,211,279,0,597,208,0,0,0,0,1231,College Not Found,okaloosa-walton-community,0,,
#2001,12,Vladimir Radmanovic,0,208,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2001,13,Richard Jefferson,0,201,106,2211,335,684,60,163,214,298,0,416,232,51,63,227,219,944,73.9,108.2,94,arizona,3
2001,14,Troy Murphy,0,211,111,3298,680,1370,64,191,587,755,0,924,158,113,126,284,274,2011,71.6,103.2,98.5,notre-dame,3
2001,15,Steven Hunter,0,213,100,1552,252,430,0,2,120,200,0,297,24,11,128,101,141,624,69.2,104.5,100,depaul,2
2001,16,Kirk Haston,0,206,110,2572,544,1150,26,71,292,407,0,748,111,80,104,195,255,1406,72.1,103.5,93.5,indiana,3
2001,17,Michael Bradley,0,208,111,1864,441,651,12,34,193,357,0,540,133,64,102,152,161,1087,72.1,106.3,103.9,villanova,1
2001,18,Jason Collins,1,213,116,1591,262,428,12,27,249,348,0,484,55,34,89,108,162,785,69.5,113.5,91.4,stanford,4
