	Away Shooting Percentage	Away Team	Home Shooting Percentage	Home Team
119	0.367088607595	CLE	0.413043478261	POR
120	0.408602150538	MEM	0.472972972973	LAL
121	0.43023255814	MIL	0.558441558442	PHX
122	0.45	MIN	0.344827586207	WAS
123	0.425287356322	ORL	0.520547945205	SAC
124	0.416666666667	SAS	0.506666666667	OKC
125	0.538461538462	ATL	0.467532467532	NJN
126	0.414634146341	CHA	0.379746835443	NYK
127	0.394366197183	DET	0.459459459459	CHI
128	0.365853658537	IND	0.5	PHI
129	0.3375	MIN	0.441558441558	TOR
130	0.52	NOH	0.408450704225	DEN
131	0.530864197531	CHI	0.423076923077	MIN
132	0.448717948718	CLE	0.592105263158	UTA
133	0.550724637681	DAL	0.434782608696	DET
134	0.385542168675	HOU	0.340909090909	CHA
135	0.44578313253	LAC	0.513888888889	POR
136	0.458823529412	MIA	0.4	GSW
137	0.459459459459	OKC	0.458823529412	MEM
138	0.425	PHX	0.4875	LAL
139	0.395348837209	SAC	0.566265060241	PHI
140	0.6	SAS	0.517647058824	MIL
141	0.394736842105	TOR	0.487804878049	WAS
142	0.375	ATL	0.458823529412	IND
143	0.443037974684	DAL	0.453125	BOS
144	0.427083333333	HOU	0.45652173913	SAS
145	0.426829268293	LAL	0.387096774194	UTA
146	0.395061728395	MIA	0.418604651163	LAC
147	0.518072289157	NJN	0.594594594595	DEN
148	0.479452054795	OKC	0.45	NOH
149	0.585714285714	ORL	0.476744186047	POR
150	0.395061728395	PHI	0.415584415584	NYK
151	0.37037037037	SAC	0.425	TOR
152	0.309523809524	WAS	0.366666666667	CHI
153	0.423076923077	CHA	0.466666666667	ATL
154	0.438202247191	CLE	0.453333333333	PHX
155	0.445945945946	DET	0.474358974359	MIL
156	0.373493975904	NYK	0.453333333333	MEM
157	0.514705882353	ORL	0.524390243902	GSW
158	0.447368421053	CHI	0.413333333333	BOS
159	0.376470588235	CLE	0.486842105263	LAL
160	0.487804878049	DET	0.445945945946	CHA
161	0.454545454545	IND	0.445945945946	TOR
162	0.469135802469	MIA	0.551282051282	DEN
163	0.371794871795	MIL	0.52	DAL
