name, isSucessful, height, weight, wing_span, minutes_played, FG, FGA, 3P, 3PA, FT, FTA, ORB, TRB, AST, STL, BLK, TOV, PF, PTS
# Dwight Howard, 1, 211, 120, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Emeka Okafor, 0, 208, 114, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Ben Gordon, 0, 190, 90, 203, 3291, 590, 1342, 246, 581, 369, 464, 0, 415, 437, 125, 19, 0, 0, 1795
# Shaun Livingston, 0, 201, 87, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Devin Harris, 0, 190, 87, 202, 3356, 438, 980, 187, 499, 362, 465, 0, 391, 295, 164, 40,0, 0, 1425
Josh Childress, 0, 203, 95, 211, 2458, 386, 881, 104, 310, 185, 245, 0, 583, 155, 77, 95, 0, 0, 1061
Luol Deng, 0, 206, 99, 221, 1149, 210, 441, 40, 111, 98, 138, 0, 255, 68, 49, 39, 0, 0, 558
Rafael Araujo, 0, 211, 127, 0, 1697, 366, 646, 11, 41, 92, 278, 0, 589, 75, 88, 40, 0, 0, 935
Andre Iguodala, 0, 198, 97, 211, 1576, 205, 483, 32, 117, 152, 206, 0, 409, 213, 95, 29, 0, 0, 594
Luke Jackson, 0, 201, 97, 0, 3665, 645, 1398, 174, 433, 506, 596, 0, 746, 424, 160, 37, 0, 0, 1970
# Andris Biedrins, 0, 211, 108, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Robert Swift, 0, 213, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Sebastian Telfair, 0, 183, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Kris Humphries, 0, 206, 106, 215, 990, 221, 498, 17, 50, 170, 229, 0, 294, 20, 27, 33, 0, 0, 629
# Al Jefferson, 1, 208, 131, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Kirk Snyder, 0, 198, 102, 206, 2586, 477, 1120, 106, 342, 344, 508, 0, 537, 224, 76, 63, 0, 0, 1404
# Josh Smith, 1, 206, 102, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# JR Smith, 1, 198, 102, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Dorell Wright, 0, 206, 92, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Jameer Nelson, 1, 183, 86, 189, 4311, 703, 1550, 229, 628, 459, 584, 0, 581, 713, 250, 10, 0, 0, 2094
# Pavel Podkolzin, 0, 226, 117, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Viktor Khryapa, 0, 206, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Sergei Monia, 0, 203, 99, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Delonte West, 1, 193, 81, 198, 2384, 450, 920, 113, 300, 222, 267, 0, 377, 270, 121, 15, 0, 0, 1235
Tony Allen, 1, 193, 96, 206, 3072, 574, 1176, 64, 182, 337, 512, 0, 560, 301, 134, 54, 0, 0, 1549
Kevin Martin, 1, 201, 90, 203, 2515, 565, 1224, 174, 503, 534, 635, 0, 354, 133, 134, 30, 0, 0, 1838
# Sasha Vujacic, 0, 201, 88, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Beno Udrih, 1, 190, 92, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
David Harrison, 0, 213, 127, 0, 2480, 489, 813, 0, 1, 339, 613, 0, 707, 52, 54, 225, 0, 0, 1317
