Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
2009,3,James Harden,1,196,100,0,417,824,102,271,373,494,0,374,258,132,30,207,0,1309,1,1
2009,4,Tyreke Evans,0,198,100,0,230,505,34,124,138,194,0,198,143,77,29,133,0,632,0,1
#2009,5,Ricky Rubio,0,193,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,6,Jonny Flynn,0,183,84,0,410,892,101,303,290,371,0,198,439,107,12,224,0,1211,0,0
2009,7,Stephen Curry,1,190,86,0,871,1866,414,1004,479,547,0,473,388,221,28,219,0,2635,1,1
2009,8,Jordan Hill,0,208,107,0,494,855,0,0,220,346,0,763,80,53,140,169,0,1208,0,0
2009,9,DeMar DeRozan,1,201,100,0,192,367,6,36,95,147,0,201,51,31,13,73,0,485,1,1
#2009,10,Brandon Jennings,0,185,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,11,Terrence Williams,0,198,100,0,577,1444,195,609,216,367,0,970,546,210,90,191,0,1565,0,0
2009,12,Gerald Henderson,0,196,98,0,456,995,69,210,281,398,0,435,182,101,69,148,0,1262,0,1
2009,13,Tyler Hansbrough,0,206,113,0,939,1752,12,38,982,1241,0,1219,154,180,66,146,0,2872,0,0
2009,14,Earl Clark,0,208,102,0,419,897,56,188,210,328,0,728,179,93,124,199,0,1104,0,0
2009,15,Austin Daye,0,211,100,0,275,577,62,147,166,210,0,386,69,45,124,129,0,778,0,0
2009,16,James Johnson,0,206,113,0,351,682,50,169,151,218,0,508,99,85,88,152,0,903,0,0
2009,17,Jrue Holiday,1,193,93,0,112,249,27,88,45,62,0,132,129,55,18,75,0,296,1,1
2009,18,Ty Lawson,1,180,88,0,463,896,112,278,337,432,0,303,608,184,10,136,0,1375,0,1
2009,19,Jeff Teague,1,188,84,0,315,682,77,183,293,361,0,184,184,113,35,180,0,1000,1,1
2009,20,Eric Maynor,0,190,79,0,654,1457,142,384,503,636,0,442,674,168,20,197,0,1953,0,0
2009,21,Darren Collison,0,183,79,0,560,1171,163,371,347,408,0,320,572,231,13,161,0,1630,0,0
#2009,22,Victor Claver,0,206,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2009,23,Omri Casspi,0,206,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,24,Byron Mullens,0,213,125,0,120,188,0,1,52,93,0,154,9,16,37,51,0,292,0,0
#2009,25,Rodrigue Beaubois,0,183,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
